,Tumor_model_annot,Blood_model_annot,Dataset
SRX3932274,CD8_T_cells,CD8_T_cells,GSE113098
SRX3797664,,CD8_T_cells,GSE111892
SRX5702697,,Monocytes,GSE129935
SRX6404771,,Monocytes,GSE133822
SRX5686045,CD4_T_cells,CD4_T_cells,GSE129829
SRX3184999,CD4_T_cells,CD4_T_cells,GSE103844
SRX2271047,,CD4_T_cells,GSE89225
SRX2947689,Myeloid_cells,Myeloid_cells,GSE100382
SRX5294229,NK_cells,NK_cells,GSE125686
SRX2202517,,T_cells,GSE87517
SRX1262132,CD4_T_cells,CD4_T_cells,GSE73213
SRX6680448,,CD8_T_cells,GSE135582
SRX680546,Neutrophils,Neutrophils,GSE60424
SRX2875315,CD8_T_cells,CD8_T_cells,GSE99531
SRX3184929,CD4_T_cells,CD4_T_cells,GSE103844
SRX865101,CD4_T_cells,CD4_T_cells,GSE65621
SRX3263447,CD4_T_cells,CD4_T_cells,GSE104744
SRX3797652,,CD8_T_cells,GSE111892
SRX6369353,,NK_cells,GSE133383
SRX3594691,NK_cells,NK_cells,GSE109542
SRX3680693,Tregs,CD4_T_cells,GSE110469
SRX4620969,,CD4_T_cells,GSE119192
SRX5019119,T_cells,T_cells,GSE122624
SRX1871076,,CD8_T_cells,GSE83637
SRX4518719,Non_plasma_B_cells,B_cells,GSE118254
SRX3184931,CD4_T_cells,CD4_T_cells,GSE103844
SRX2458648,,CD8_T_cells,GSE83637
SRX5123154,Monocytes,Monocytes,GSE123532
SRX1571011,NK_cells,NK_cells,GSE77808
SRX6404793,,Monocytes,GSE133822
SRX5294210,NK_cells,NK_cells,GSE125686
SRX3862274,gd_T_Cells,T_cells,GSE112483
SRX5316102,Monocytes,Monocytes,GSE117970
SRX2831275,Non_plasma_B_cells,Non_plasma_B_cells,GSE99006
SRX3184993,CD4_T_cells,CD4_T_cells,GSE103844
SRX5609042,Neutrophils,Neutrophils,GSE129093
SRX2370304,Tregs,CD4_T_cells,GSE90468
SRX3848497,Th1_cells,CD4_T_cells,GSE112341
SRX2416669,,Granulocytes,GSE92293
SRX3678131,CD4_T_cells,CD4_T_cells,GSE110417
SRX2268500,,Monocytes,GSE89187
SRX5162223,Monocytes,Monocytes,GSE124073
SRX7052839,,Neutrophils,GSE139358
SRX5806641,,CD4_T_cells,GSE130882
SRX3100171,,CD4_T_cells,GSE102751
SRX5312174,,NK_cells,GSE125916
SRX5019111,,T_cells,GSE122624
SRX3058220,,Granulocytes,GSE102215
SRX6404682,,CD4_T_cells,GSE133822
SRX6404676,,CD4_T_cells,GSE133822
SRX3848498,CD4_T_cells,CD4_T_cells,GSE112341
SRX1262134,CD4_T_cells,CD4_T_cells,GSE73213
SRX1634958,,PDC,GSE79272
SRX5600977,NK_cells,NK_cells,GSE129044
SRX6404716,,CD8_T_cells,GSE133822
SRX828417,Monocytes,Monocytes,GSE64655
SRX2635625,CD4_T_cells,CD4_T_cells,GSE96538
SRX372056,,Granulocytes,GSE51984
SRX5557479,NK_cells,NK_cells,GSE128696
SRX6077946,Non_plasma_B_cells,B_cells,GSE132835
SRX5686029,CD4_T_cells,CD4_T_cells,GSE129829
SRX3680691,Tregs,CD4_T_cells,GSE110469
SRX4797301,CD4_T_cells,CD4_T_cells,GSE112101
SRX3298797,Myeloid_cells,Myeloid_cells,GSE105142
SRX1921656,,PDC,GSE84204
ERX1842519,Neutrophils,Neutrophils,E-MTAB-5316
ERX1819171,Tregs,CD4_T_cells,E-MTAB-5322
SRX4615381,B_cells,B_cells,GSE119103
SRX6369380,,NK_cells,GSE133383
SRX6404593,,Monocytes,GSE133822
SRX3630252,T_helpers,CD4_T_cells,GSE109843
SRX2635599,T_helpers,CD4_T_cells,GSE96538
SRX1871079,,CD8_T_cells,GSE83637
SRX3733716,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE110999
SRX2268501,,Monocytes,GSE89187
SRX2378916,T_helpers,CD4_T_cells,GSE90569
SRX2200759,,CD4_T_cells,GSE87505
SRX372059,Monocytes,Monocytes,GSE51984
SRX5294203,NK_cells,NK_cells,GSE125686
SRX3263428,CD4_T_cells,CD4_T_cells,GSE104744
SRX5214049,CD4_T_cells,CD4_T_cells,GSE124757
SRX5609035,Neutrophils,Neutrophils,GSE129093
SRX6404629,,Monocytes,GSE133822
SRX2532742,CD4_T_cells,CD4_T_cells,GSE94396
SRX2614906,CD4_T_cells,CD4_T_cells,GSE95754
SRX5019107,gd_T_Cells,T_cells,GSE122624
SRX3184989,CD4_T_cells,CD4_T_cells,GSE103844
SRX828423,NK_cells,NK_cells,GSE64655
SRX4285019,NK_cells,NK_cells,GSE116178
SRX4996418,CD4_T_cells,CD4_T_cells,GSE122321
SRX2831276,Non_plasma_B_cells,Non_plasma_B_cells,GSE99006
SRX2741671,CD4_T_cells,CD4_T_cells,GSE97861
ERX1842511,Neutrophils,Neutrophils,E-MTAB-5316
SRX5686098,CD4_T_cells,CD4_T_cells,GSE129829
SRX2469639,Myeloid_cells,Myeloid_cells,GSE93265
SRX680591,NK_cells,NK_cells,GSE60424
SRX7106939,Tregs,CD4_T_cells,GSE140031
SRX1272129,Neutrophils,Neutrophils,GSE73313
SRX1272128,Neutrophils,Neutrophils,GSE73313
SRX4978123,CD8_T_cells,CD8_T_cells,GSE122149
SRX4456889,CD4_T_cells,CD4_T_cells,GSE117655
ERX2283337,,CD8_T_cells,E-MTAB-6370
SRX865097,CD4_T_cells,CD4_T_cells,GSE65621
SRX3184891,CD4_T_cells,CD4_T_cells,GSE103844
SRX2532755,CD4_T_cells,CD4_T_cells,GSE94396
SRX6404738,,CD8_T_cells,GSE133822
SRX6404781,,CD8_T_cells,GSE133822
SRX1871071,,CD8_T_cells,GSE83637
SRX5162184,Monocytes,Monocytes,GSE124073
SRX5162180,Monocytes,Monocytes,GSE124073
SRX4453803,CD8_T_cells,CD8_T_cells,GSE117614
SRX4456918,CD4_T_cells,CD4_T_cells,GSE117655
SRX6771554,Neutrophils,Neutrophils,GSE136632
SRX3630220,CD8_T_cells,CD8_T_cells,GSE109841
SRX2416665,,Granulocytes,GSE92293
SRX3263418,CD4_T_cells,CD4_T_cells,GSE104744
SRX3263513,Monocytes,Monocytes,GSE104744
SRX2953992,Non_plasma_B_cells,B_cells,GSE100441
SRX3263512,Monocytes,Monocytes,GSE104744
SRX6680446,,CD8_T_cells,GSE135582
SRX5686056,CD4_T_cells,CD4_T_cells,GSE129829
SRX2614898,T_helpers,CD4_T_cells,GSE95754
SRX7106940,Tregs,CD4_T_cells,GSE140031
SRX6404679,,CD8_T_cells,GSE133822
SRX6369379,,NK_cells,GSE133383
SRX3185019,CD4_T_cells,CD4_T_cells,GSE103844
SRX1601436,CD8_T_cells,CD8_T_cells,GSE78522
SRX5128307,Neutrophils,Neutrophils,GSE123785
SRX5702715,,Monocytes,GSE129935
SRX4150595,NK_cells,NK_cells,GSE115203
SRX2378918,T_helpers,CD4_T_cells,GSE90569
SRX4664165,NK_cells,NK_cells,GSE119705
SRX3932283,CD8_T_cells,CD8_T_cells,GSE113098
SRX6369358,,NK_cells,GSE133383
SRX2635600,CD4_T_cells,CD4_T_cells,GSE96538
SRX7052836,,Neutrophils,GSE139358
SRX5294173,NK_cells,NK_cells,GSE125686
SRX2378890,CD4_T_cells,CD4_T_cells,GSE90569
SRX5624312,,T_cells,GSE129196
SRX6457044,,CD4_T_cells,GSE134416
SRX1262138,CD4_T_cells,CD4_T_cells,GSE73213
SRX4074874,CD8_T_cells,CD8_T_cells,GSE114407
SRX372064,T_cells,T_cells,GSE51984
SRX4620961,CD4_T_cells,CD4_T_cells,GSE119191
SRX6404630,,Monocytes,GSE133822
SRX6404739,,CD8_T_cells,GSE133822
SRX5557485,NK_cells,NK_cells,GSE128696
SRX3399219,gd_T_Cells,T_cells,GSE107011
SRX680632,CD8_T_cells,CD8_T_cells,GSE60424
SRX2635610,CD4_T_cells,CD4_T_cells,GSE96538
SRX3889772,,B_cells,GSE103057
SRX6404774,,Monocytes,GSE133822
SRX2767759,,B_cells,GSE98310
SRX5702711,,Monocytes,GSE129935
SRX2614908,CD4_T_cells,CD4_T_cells,GSE95754
SRX3594694,NK_cells,NK_cells,GSE109542
SRX2875338,CD8_T_cells,CD8_T_cells,GSE99531
SRX2635634,CD4_T_cells,CD4_T_cells,GSE96538
SRX1634965,,PDC,GSE79272
SRX1830407,Monocytes,Monocytes,GSE83115
SRX2264056,Monocytes,Monocytes,GSE89323
SRX4456893,CD4_T_cells,CD4_T_cells,GSE117655
SRX5806674,,CD4_T_cells,GSE130882
SRX1262118,CD4_T_cells,CD4_T_cells,GSE73213
SRX4198451,T_cells,T_cells,GSE115686
SRX3263483,CD8_T_cells,CD8_T_cells,GSE104744
SRX3184994,CD4_T_cells,CD4_T_cells,GSE103844
SRX5624332,,T_cells,GSE129196
SRX680612,NK_cells,NK_cells,GSE60424
SRX372067,T_cells,T_cells,GSE51984
SRX828407,Non_plasma_B_cells,Non_plasma_B_cells,GSE64655
SRX680619,NK_cells,NK_cells,GSE60424
SRX3733721,Non_plasma_B_cells,Naive_B_cells,GSE110999
SRX2585747,CD4_T_cells,CD4_T_cells,GSE95297
SRX5686085,CD4_T_cells,CD4_T_cells,GSE129829
SRX3361954,Neutrophils,Neutrophils,GSE106520
SRX3399222,CD4_T_cells,CD4_T_cells,GSE107011
SRX1897612,,B_cells,GSE84022
SRX4456897,CD4_T_cells,CD4_T_cells,GSE117655
SRX1433443,Monocytes,Monocytes,GSE75042
SRX2614902,CD4_T_cells,CD4_T_cells,GSE95754
SRX3263526,Monocytes,Monocytes,GSE104744
SRX4198456,T_cells,T_cells,GSE115686
SRX6404754,,Monocytes,GSE133822
SRX6727405,,Monocytes,GSE135902
SRX1796104,CD4_T_cells,CD4_T_cells,GSE81810
SRX6077948,Non_plasma_B_cells,B_cells,GSE132835
SRX4615380,B_cells,B_cells,GSE119103
SRX2585762,CD4_T_cells,CD4_T_cells,GSE95297
SRX3678127,CD4_T_cells,CD4_T_cells,GSE110417
SRX7052834,,Neutrophils,GSE139358
SRX1921657,,PDC,GSE84204
SRX3399207,Monocytes,Non_classical_monocytes,GSE107011
SRX3399235,Monocytes,Classical_monocytes,GSE107011
ERX397870,CD4_T_cells,CD4_T_cells,E-MTAB-2319
SRX6404635,,CD4_T_cells,GSE133822
SRX5128314,Neutrophils,Neutrophils,GSE123785
SRX1837268,Plasma_B_cells,Plasma_B_cells,GSE81443
SRX7052861,,Neutrophils,GSE139358
SRX1950685,,CD4_T_cells,GSE84445
SRX3680680,T_helpers,CD4_T_cells,GSE110469
SRX2635631,CD4_T_cells,CD4_T_cells,GSE96538
SRX6404668,,CD4_T_cells,GSE133822
SRX2469649,Myeloid_cells,Myeloid_cells,GSE93265
SRX5128316,Neutrophils,Neutrophils,GSE123785
SRX2200792,,CD4_T_cells,GSE87505
SRX2267400,CD8_T_cells,CD8_T_cells,GSE89134
SRX2954005,Non_plasma_B_cells,B_cells,GSE100441
SRX4044509,CD4_T_cells,CD4_T_cells,GSE114065
SRX5600968,NK_cells,NK_cells,GSE129044
SRX5656680,CD4_T_cells,CD4_T_cells,GSE129522
SRX3058212,,Granulocytes,GSE102215
SRX6404718,,CD8_T_cells,GSE133822
SRX680547,Monocytes,Monocytes,GSE60424
SRX6457085,,CD4_T_cells,GSE134416
SRX5128312,Neutrophils,Neutrophils,GSE123785
SRX1066934,Neutrophils,Neutrophils,GSE70068
SRX5162227,Monocytes,Monocytes,GSE124073
SRX3630243,CD4_T_cells,CD4_T_cells,GSE109843
SRX5162222,Monocytes,Monocytes,GSE124073
SRX1921658,,PDC,GSE84204
SRX3298795,Myeloid_cells,Myeloid_cells,GSE105142
SRX828418,Neutrophils,Neutrophils,GSE64655
SRX5702712,,Monocytes,GSE129935
SRX4978121,CD8_T_cells,CD8_T_cells,GSE122149
SRX6404798,,Monocytes,GSE133822
SRX3410730,CD8_T_cells_PD1_high,CD8_T_cells,GSE100860
SRX3184943,CD4_T_cells,CD4_T_cells,GSE103844
SRX4453800,NK_cells,NK_cells,GSE117614
SRX5686015,CD4_T_cells,CD4_T_cells,GSE129829
SRX885290,B_cells,B_cells,GSE66117
SRX3848488,CD4_T_cells,CD4_T_cells,GSE112341
SRX6727393,,Monocytes,GSE135902
SRX2378907,T_helpers,CD4_T_cells,GSE90569
SRX3702492,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE110669
SRX4495370,Monocytes,Monocytes,GSE117970
SRX2558429,T_helpers,CD4_T_cells,GSE94859
SRX5128317,Neutrophils,Neutrophils,GSE123785
SRX4518799,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE118254
SRX3298794,Myeloid_cells,Myeloid_cells,GSE105142
SRX3298792,Myeloid_cells,Myeloid_cells,GSE105142
SRX4453812,NK_cells,NK_cells,GSE117614
SRX2532690,CD4_T_cells,CD4_T_cells,GSE94396
SRX5686064,CD4_T_cells,CD4_T_cells,GSE129829
SRX4603405,T_helpers,CD4_T_cells,GSE118974
ERX2283326,,CD4_T_cells,E-MTAB-6370
SRX4456917,CD4_T_cells,CD4_T_cells,GSE117655
SRX3399197,Th17_cells,CD4_T_cells,GSE107011
SRX2635618,T_helpers,CD4_T_cells,GSE96538
ERX1842514,Neutrophils,Neutrophils,E-MTAB-5316
SRX4804526,CD8_T_cells,CD8_T_cells,GSE120904
SRX1782041,Plasma_B_cells,Plasma_B_cells,GSE81443
SRX3630241,CD4_T_cells,CD4_T_cells,GSE109843
SRX2585450,B_cells,B_cells,GSE95282
SRX3049459,CD4_T_cells,CD4_T_cells,GSE102045
SRX3184939,CD4_T_cells,CD4_T_cells,GSE103844
SRX5702709,,Monocytes,GSE129935
SRX375668,CD4_T_cells,CD4_T_cells,GSE52260
SRX1066930,Neutrophils,Neutrophils,GSE70068
SRX5444143,,CD4_T_cells,GSE127457
SRX3184951,CD4_T_cells,CD4_T_cells,GSE103844
SRX3932288,CD8_T_cells,CD8_T_cells,GSE113098
SRX1571005,NK_cells,NK_cells,GSE77808
SRX2469644,Monocytes,Monocytes,GSE93265
SRX4797290,Neutrophils,Neutrophils,GSE112101
SRX3361936,Neutrophils,Neutrophils,GSE106520
SRX4505734,,CD4_T_cells,GSE118094
SRX4456890,CD4_T_cells,CD4_T_cells,GSE117655
SRX3185056,CD4_T_cells,CD4_T_cells,GSE103844
SRX5294206,NK_cells,NK_cells,GSE125686
SRX5162201,Monocytes,Monocytes,GSE124073
SRX3263489,CD8_T_cells,CD8_T_cells,GSE104744
SRX3702493,Non_plasma_B_cells,Non_switched_memory_B_cells,GSE110669
SRX3361941,Neutrophils,Neutrophils,GSE106520
SRX3263482,CD8_T_cells,CD8_T_cells,GSE104744
SRX375679,CD4_T_cells,CD4_T_cells,GSE52260
SRX7052858,,Neutrophils,GSE139358
SRX4161202,CD8_T_cells,CD8_T_cells,GSE115305
SRX3184976,CD4_T_cells,CD4_T_cells,GSE103844
SRX4518791,B_cells,B_cells,GSE118254
SRX3527704,CD8_T_cells,CD8_T_cells,GSE108694
SRX2833988,NK_cells,NK_cells,GSE99068
SRX4978117,CD8_T_cells,CD8_T_cells,GSE122149
SRX4394773,,Granulocytes,GSE117168
SRX4277203,CD4_T_cells,CD4_T_cells,GSE116073
SRX5775866,,CD4_T_cells,GSE130580
SRX5686014,CD4_T_cells,CD4_T_cells,GSE129829
SRX6404645,,CD4_T_cells,GSE133822
SRX7052829,,Neutrophils,GSE139358
SRX1903071,,Neutrophils,GSE84153
SRX828421,Neutrophils,Neutrophils,GSE64655
SRX3263537,Monocytes,Monocytes,GSE104744
SRX3185061,CD4_T_cells,CD4_T_cells,GSE103844
SRX680564,Non_plasma_B_cells,Non_plasma_B_cells,GSE60424
SRX375663,CD4_T_cells,CD4_T_cells,GSE52260
SRX5732395,NK_cells,NK_cells,GSE130284
SRX680602,Non_plasma_B_cells,Non_plasma_B_cells,GSE60424
SRX6404697,,CD8_T_cells,GSE133822
SRX1272130,Neutrophils,Neutrophils,GSE73313
SRX1503206,T_cells,T_cells,GSE76371
SRX2388118,CD8_T_cells,CD8_T_cells,GSE90730
SRX4044475,CD4_T_cells,CD4_T_cells,GSE114065
SRX5294183,NK_cells,NK_cells,GSE125686
SRX3630224,CD8_T_cells,CD8_T_cells,GSE109841
SRX2378908,CD4_T_cells,CD4_T_cells,GSE90569
SRX3630246,CD4_T_cells,CD4_T_cells,GSE109843
SRX3184925,CD4_T_cells,CD4_T_cells,GSE103844
SRX1515449,,PDC,GSE76511
SRX1921655,,PDC,GSE84204
SRX3263470,CD8_T_cells,CD8_T_cells,GSE104744
SRX1959658,Monocytes,Monocytes,GSE84531
SRX2378896,T_helpers,CD4_T_cells,GSE90569
SRX5702702,,Monocytes,GSE129935
SRX5806635,,CD4_T_cells,GSE130882
SRX3185003,CD4_T_cells,CD4_T_cells,GSE103844
SRX3644631,Th17_cells,CD4_T_cells,GSE110097
SRX3184952,CD4_T_cells,CD4_T_cells,GSE103844
SRX5656676,CD4_T_cells,CD4_T_cells,GSE129522
SRX6369372,,NK_cells,GSE133383
SRX2202525,,T_cells,GSE87517
SRX2268498,,Monocytes,GSE89187
SRX2416664,,Granulocytes,GSE92293
SRX2558440,T_helpers,CD4_T_cells,GSE94859
SRX6404610,,CD4_T_cells,GSE133822
SRX1363187,Monocytes,Monocytes,GSE74246
SRX6404618,,CD8_T_cells,GSE133822
SRX1571006,NK_cells,NK_cells,GSE77808
SRX4107914,CD4_T_cells,CD4_T_cells,GSE114716
SRX6404743,,Monocytes,GSE133822
SRX682479,CD4_T_cells,CD4_T_cells,GSE60482
SRX2635621,CD4_T_cells,CD4_T_cells,GSE96538
SRX3678123,Non_plasma_B_cells,B_cells,GSE110417
SRX5686051,CD4_T_cells,CD4_T_cells,GSE129829
SRX5294188,NK_cells,NK_cells,GSE125686
SRX2200835,,CD8_T_cells,GSE87505
SRX6404705,,CD4_T_cells,GSE133822
SRX2200853,,CD4_T_cells,GSE87505
SRX1921649,,PDC,GSE84204
SRX2585764,CD4_T_cells,CD4_T_cells,GSE95297
SRX3733718,Non_plasma_B_cells,Naive_B_cells,GSE110999
SRX680665,CD8_T_cells,CD8_T_cells,GSE60424
SRX1959646,Monocytes,Monocytes,GSE84531
ERX2283334,,CD8_T_cells,E-MTAB-6370
SRX4277208,CD4_T_cells,CD4_T_cells,GSE116073
SRX6404620,,CD8_T_cells,GSE133822
SRX7051971,,CD4_T_cells,GSE139341
SRX1571008,NK_cells,NK_cells,GSE77808
SRX2378924,T_helpers,CD4_T_cells,GSE90569
SRX4219525,T_cells,T_cells,GSE115831
SRX4620967,,CD4_T_cells,GSE119192
SRX4089118,NK_cells,NK_cells,GSE114519
SRX2532757,CD4_T_cells,CD4_T_cells,GSE94396
SRX5806667,,CD4_T_cells,GSE130882
SRX1066928,Neutrophils,Neutrophils,GSE70068
SRX5019122,T_cells,T_cells,GSE122624
SRX6404636,,CD4_T_cells,GSE133822
SRX828403,T_cells,T_cells,GSE64655
SRX7053091,CD4_T_cells,CD4_T_cells,GSE139372
SRX2635647,CD4_T_cells,CD4_T_cells,GSE96538
SRX3678142,CD4_T_cells,CD4_T_cells,GSE110417
SRX6404588,,CD8_T_cells,GSE133822
SRX6404770,,Monocytes,GSE133822
SRX5444150,,CD4_T_cells,GSE127457
SRX5624329,,T_cells,GSE129196
SRX6404706,,CD8_T_cells,GSE133822
SRX3678118,Non_plasma_B_cells,B_cells,GSE110417
SRX6404724,,CD8_T_cells,GSE133822
SRX3361956,Neutrophils,Neutrophils,GSE106520
SRX5806643,,CD4_T_cells,GSE130882
ERX1842513,Neutrophils,Neutrophils,E-MTAB-5316
SRX5686032,CD4_T_cells,CD4_T_cells,GSE129829
SRX4453809,CD8_T_cells,CD8_T_cells,GSE117614
SRX3399245,CD8_T_cells,CD8_T_cells,GSE107011
SRX5162215,Monocytes,Monocytes,GSE124073
SRX5686053,CD4_T_cells,CD4_T_cells,GSE129829
SRX5019114,T_cells,T_cells,GSE122624
SRX4044541,CD4_T_cells,CD4_T_cells,GSE114065
SRX1130212,,CD4_T_cells,GSE71645
SRX5686089,CD4_T_cells,CD4_T_cells,GSE129829
SRX2532686,CD4_T_cells,CD4_T_cells,GSE94396
SRX5572934,,CD4_T_cells,GSE128822
SRX5294215,NK_cells,NK_cells,GSE125686
SRX5312176,,NK_cells,GSE125916
SRX3630244,CD4_T_cells,CD4_T_cells,GSE109843
SRX4285021,NK_cells,NK_cells,GSE116178
SRX4996460,,NK_cells,GSE122324
SRX865104,CD4_T_cells,CD4_T_cells,GSE65621
SRX6404703,,CD4_T_cells,GSE133822
SRX6369357,,NK_cells,GSE133383
SRX2833997,NK_cells,NK_cells,GSE99068
ERX1973413,CD4_T_cells,CD4_T_cells,E-MTAB-5622
SRX7106936,Tregs,CD4_T_cells,GSE140031
SRX5294192,NK_cells,NK_cells,GSE125686
SRX1950657,,CD4_T_cells,GSE84445
SRX4518767,Plasma_B_cells,Plasma_B_cells,GSE118254
SRX2635603,T_helpers,CD4_T_cells,GSE96538
SRX3630262,CD4_T_cells,CD4_T_cells,GSE109843
SRX6369351,,NK_cells,GSE133383
SRX2370309,Tregs,CD4_T_cells,GSE90468
SRX375696,CD4_T_cells,CD4_T_cells,GSE52260
SRX1950666,,CD8_T_cells,GSE84445
SRX6404614,,CD4_T_cells,GSE133822
SRX372063,T_cells,T_cells,GSE51984
SRX3185042,CD4_T_cells,CD4_T_cells,GSE103844
SRX3185012,CD4_T_cells,CD4_T_cells,GSE103844
SRX3184950,CD4_T_cells,CD4_T_cells,GSE103844
SRX5656683,CD4_T_cells,CD4_T_cells,GSE129522
SRX2271052,,CD4_T_cells,GSE89225
SRX5686034,CD4_T_cells,CD4_T_cells,GSE129829
SRX3932275,CD8_T_cells,CD8_T_cells,GSE113098
SRX1130211,,CD4_T_cells,GSE71645
SRX1796107,CD4_T_cells,CD4_T_cells,GSE81810
SRX3680681,T_helpers,CD4_T_cells,GSE110469
SRX3185001,CD4_T_cells,CD4_T_cells,GSE103844
SRX734211,Non_plasma_B_cells,B_cells,GSE62408
SRX375680,CD4_T_cells,CD4_T_cells,GSE52260
SRX3361939,Neutrophils,Neutrophils,GSE106520
SRX865103,CD4_T_cells,CD4_T_cells,GSE65621
SRX680637,Non_plasma_B_cells,Non_plasma_B_cells,GSE60424
SRX2633225,Tregs,CD4_T_cells,GSE96075
SRX1059588,Non_plasma_B_cells,B_cells,GSE69905
SRX3942984,T_cells,T_cells,GSE113194
SRX3630242,CD4_T_cells,CD4_T_cells,GSE109843
SRX2875302,CD8_T_cells_PD1_high,CD8_T_cells,GSE99531
SRX3184964,CD4_T_cells,CD4_T_cells,GSE103844
SRX3399232,B_cells,Non_switched_memory_B_cells,GSE107011
SRX7052841,,Neutrophils,GSE139358
SRX4797302,CD4_T_cells,CD4_T_cells,GSE112101
SRX3405807,B_cells,B_cells,GSE107111
SRX6404792,,Monocytes,GSE133822
SRX680646,CD8_T_cells,CD8_T_cells,GSE60424
SRX5444153,,CD4_T_cells,GSE127457
SRX3629832,NK_cells,NK_cells,GSE109823
SRX865112,CD4_T_cells,CD4_T_cells,GSE65621
SRX6404698,,CD8_T_cells,GSE133822
SRX4074903,CD4_T_cells,CD4_T_cells,GSE114407
SRX3680686,T_helpers,CD4_T_cells,GSE110469
SRX2965750,CD8_T_cells,CD8_T_cells,GSE100624
SRX1562194,Monocytes,Monocytes,GSE77598
SRX3824903,CD4_T_cells,CD4_T_cells,GSE112101
SRX4285023,NK_cells,NK_cells,GSE116178
SRX3184912,CD4_T_cells,CD4_T_cells,GSE103844
SRX2635654,Tregs,CD4_T_cells,GSE96538
SRX1830408,CD4_T_cells,CD4_T_cells,GSE83115
SRX6404615,,CD8_T_cells,GSE133822
SRX3629837,NK_cells,NK_cells,GSE109823
SRX1677381,NK_cells,NK_cells,GSE79879
SRX3464054,T_helpers,CD4_T_cells,GSE107981
SRX6404612,,CD4_T_cells,GSE133822
SRX4620974,,CD4_T_cells,GSE119192
SRX2947691,Myeloid_cells,Myeloid_cells,GSE100382
SRX680611,CD8_T_cells,CD8_T_cells,GSE60424
SRX3848499,Th1_cells,CD4_T_cells,GSE112341
SRX1959668,T_cells,T_cells,GSE84531
SRX5686066,CD4_T_cells,CD4_T_cells,GSE129829
SRX6404602,,Monocytes,GSE133822
SRX2193271,NK_cells,NK_cells,GSE87392
SRX4797281,Myeloid_cells,Myeloid_cells,GSE112101
SRX2633218,Tregs,CD4_T_cells,GSE96075
SRX3184897,CD4_T_cells,CD4_T_cells,GSE103844
SRX4495350,Monocytes,Monocytes,GSE117970
SRX5686100,CD4_T_cells,CD4_T_cells,GSE129829
SRX5065864,,B_cells,GSE122982
SRX4603408,CD4_T_cells,CD4_T_cells,GSE118974
SRX3184955,CD4_T_cells,CD4_T_cells,GSE103844
SRX2532738,CD4_T_cells,CD4_T_cells,GSE94396
SRX5572940,,CD4_T_cells,GSE128822
SRX2271076,,CD4_T_cells,GSE89225
SRX6404646,,CD4_T_cells,GSE133822
SRX1066935,Neutrophils,Neutrophils,GSE70068
SRX885288,B_cells,B_cells,GSE66117
SRX1515456,,PDC,GSE76511
SRX680548,Non_plasma_B_cells,Non_plasma_B_cells,GSE60424
SRX1903083,,Neutrophils,GSE84153
SRX4603410,CD4_T_cells,CD4_T_cells,GSE118974
SRX3263477,CD8_T_cells,CD8_T_cells,GSE104744
SRX1950661,,CD4_T_cells,GSE84445
SRX4453810,CD8_T_cells,CD8_T_cells,GSE117614
SRX5806661,,CD4_T_cells,GSE130882
SRX6404736,,CD8_T_cells,GSE133822
SRX7142034,CD8_T_cells_PD1_high,CD8_T_cells,GSE140430
SRX3184924,CD4_T_cells,CD4_T_cells,GSE103844
SRX5162188,Monocytes,Monocytes,GSE124073
SRX4797282,Myeloid_cells,Myeloid_cells,GSE112101
SRX4044553,CD4_T_cells,CD4_T_cells,GSE114065
SRX4044596,CD4_T_cells,CD4_T_cells,GSE114065
SRX3185029,CD4_T_cells,CD4_T_cells,GSE103844
ERX211549,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX5316095,Monocytes,Monocytes,GSE117970
SRX3361933,Neutrophils,Neutrophils,GSE106520
SRX6077943,Non_plasma_B_cells,B_cells,GSE132835
SRX2831282,Non_plasma_B_cells,Non_plasma_B_cells,GSE99006
SRX5806665,,CD4_T_cells,GSE130882
SRX2271085,,CD4_T_cells,GSE89225
SRX2585751,CD4_T_cells,CD4_T_cells,GSE95297
SRX2267399,CD8_T_cells,CD8_T_cells,GSE89134
SRX2271082,,CD4_T_cells,GSE89225
SRX4677053,CD8_T_cells,CD8_T_cells,GSE119918
SRX4456901,CD4_T_cells,CD4_T_cells,GSE117655
SRX4582760,CD4_T_cells,CD4_T_cells,PRJNA486998
SRX4677055,CD8_T_cells,CD8_T_cells,GSE119918
SRX3405806,B_cells,B_cells,GSE107111
SRX1427415,Myeloid_cells,Myeloid_cells,GSE74924
SRX4510453,Myeloid_cells,Myeloid_cells,GSE118157
SRX6457068,,CD4_T_cells,GSE134416
SRX1363181,CD4_T_cells,CD4_T_cells,GSE74246
ERX211553,Myeloid_cells,Myeloid_cells,E-SYBR-3
SRX6404590,,CD8_T_cells,GSE133822
SRX6369367,,NK_cells,GSE133383
SRX5961728,,B_cells,GSE132138
SRX2614901,CD4_T_cells,CD4_T_cells,GSE95754
SRX2532695,CD4_T_cells,CD4_T_cells,GSE94396
SRX3263434,CD4_T_cells,CD4_T_cells,GSE104744
SRX4277190,CD4_T_cells,CD4_T_cells,GSE116073
ERX2283331,,CD8_T_cells,E-MTAB-6370
SRX6404728,,CD8_T_cells,GSE133822
SRX656157,,Granulocytes,GSE59528
SRX4203043,Neutrophils,Neutrophils,GSE115736
